Data Table for Daily Case Trends - Texas
Date generated: Tue Dec 14 2021 15:17:07 GMT-1000 (Hawaii-Aleutian Standard Time)
State,Date,New Cases
Texas,Jun 16 2020,4098
Texas,Jun 15 2020,1254
Texas,Jun 14 2020,1843
Texas,Jun 13 2020,2331
Texas,Jun 12 2020,2097
Texas,Jun 11 2020,1826
Texas,Jun 10 2020,2504
Texas,Jun  9 2020,1637
Texas,Jun  8 2020,638
Texas,Jun  7 2020,1425
Texas,Jun  6 2020,1940
Texas,Jun  5 2020,1693
Texas,Jun  4 2020,1649
Texas,Jun  3 2020,1703
Texas,Jun  2 2020,1688
Texas,Jun  1 2020,593
Texas,May 31 2020,1949
Texas,May 30 2020,1332
Texas,May 29 2020,1230
Texas,May 28 2020,1855
Texas,May 27 2020,1361
Texas,May 26 2020,589
Texas,May 25 2020,623
Texas,May 24 2020,839
Texas,May 23 2020,1060
Texas,May 22 2020,1181
Texas,May 21 2020,945
Texas,May 20 2020,1411
Texas,May 19 2020,1219
Texas,May 18 2020,909
Texas,May 17 2020,785
Texas,May 16 2020,1801
Texas,May 15 2020,1347
Texas,May 14 2020,1448
Texas,May 13 2020,1355
Texas,May 12 2020,1179
Texas,May 11 2020,1000
Texas,May 10 2020,1009
Texas,May  9 2020,1251
Texas,May  8 2020,1219
Texas,May  7 2020,968
Texas,May  6 2020,1053
Texas,May  5 2020,1037
Texas,May  4 2020,784
Texas,May  3 2020,1026
Texas,May  2 2020,1293
Texas,May  1 2020,1142
Texas,Apr 30 2020,1033
Texas,Apr 29 2020,883
Texas,Apr 28 2020,874
Texas,Apr 27 2020,666
Texas,Apr 26 2020,858
Texas,Apr 25 2020,967
Texas,Apr 24 2020,862
Texas,Apr 23 2020,875
Texas,Apr 22 2020,873
Texas,Apr 21 2020,738
Texas,Apr 20 2020,535
Texas,Apr 19 2020,663
Texas,Apr 18 2020,889
Texas,Apr 17 2020,916
Texas,Apr 16 2020,963
Texas,Apr 15 2020,868
Texas,Apr 14 2020,718
Texas,Apr 13 2020,422
Texas,Apr 12 2020,923
Texas,Apr 11 2020,890
Texas,Apr 10 2020,1441
Texas,Apr  9 2020,877
Texas,Apr  8 2020,1092
Texas,Apr  7 2020,988
Texas,Apr  6 2020,480
Texas,Apr  5 2020,681
Texas,Apr  4 2020,788
Texas,Apr  3 2020,659
Texas,Apr  2 2020,669
Texas,Apr  1 2020,730
Texas,Mar 31 2020,392
Texas,Mar 30 2020,322
Texas,Mar 29 2020,504
Texas,Mar 28 2020,317
Texas,Mar 27 2020,337
Texas,Mar 26 2020,419
Texas,Mar 25 2020,263
Texas,Mar 24 2020,425
Texas,Mar 23 2020,24
Texas,Mar 22 2020,28
Texas,Mar 21 2020,60
Texas,Mar 20 2020,67
Texas,Mar 19 2020,26
Texas,Mar 18 2020,19
Texas,Mar 17 2020,7
Texas,Mar 16 2020,0
Texas,Mar 15 2020,34
Texas,Mar 14 2020,0
Texas,Mar 13 2020,0
Texas,Mar 12 2020,4
Texas,Mar 11 2020,3
Texas,Mar 10 2020,3
Texas,Mar  9 2020,7
Texas,Mar  8 2020,0
Texas,Mar  7 2020,0
Texas,Mar  6 2020,5
Texas,Mar  5 2020,0
Texas,Mar  4 2020,0
Texas,Mar  3 2020,0
Texas,Mar  2 2020,0
Texas,Mar  1 2020,0
Texas,Feb 29 2020,0
Texas,Feb 28 2020,0
Texas,Feb 27 2020,0
Texas,Feb 26 2020,0
Texas,Feb 25 2020,0
Texas,Feb 24 2020,0
Texas,Feb 23 2020,0
Texas,Feb 22 2020,0
Texas,Feb 21 2020,0
Texas,Feb 20 2020,0
Texas,Feb 19 2020,0
Texas,Feb 18 2020,0
Texas,Feb 17 2020,0
Texas,Feb 16 2020,0
Texas,Feb 15 2020,0
Texas,Feb 14 2020,0
Texas,Feb 13 2020,0
Texas,Feb 12 2020,0
Texas,Feb 11 2020,0
Texas,Feb 10 2020,0
Texas,Feb  9 2020,0
Texas,Feb  8 2020,0
Texas,Feb  7 2020,0
Texas,Feb  6 2020,0
Texas,Feb  5 2020,0
Texas,Feb  4 2020,0
Texas,Feb  3 2020,0
Texas,Feb  2 2020,0
Texas,Feb  1 2020,0
Texas,Jan 31 2020,0
Texas,Jan 30 2020,0
Texas,Jan 29 2020,0
Texas,Jan 28 2020,0
Texas,Jan 27 2020,0
Texas,Jan 26 2020,0
Texas,Jan 25 2020,0
Texas,Jan 24 2020,0
Texas,Jan 23 2020,0
